"Time (s)","Pressure (hPa)"
0.000000000E0,9.744008636E2
1.037126000E0,9.744057465E2
2.074227000E0,9.744008636E2
3.111308000E0,9.743756866E2
4.148320000E0,9.743210602E2
5.185320000E0,9.742652130E2
5.317173000E0,9.742178345E2
6.277369000E0,9.742095947E2
7.237619000E0,9.741548920E2
8.197856000E0,9.741063690E2
9.158130000E0,9.740560150E2
1.011835000E1,9.740013885E2
1.107863800E1,9.739480591E2
1.203897000E1,9.738948059E2
1.299936500E1,9.738357544E2
1.395977300E1,9.737769318E2
1.492029300E1,9.737205505E2
1.588078800E1,9.736656952E2
1.684126000E1,9.736143494E2
1.780179600E1,9.735697174E2
1.876228000E1,9.735346222E2
1.972271300E1,9.735079956E2
2.068317100E1,9.734970856E2
2.164360600E1,9.734970856E2
2.260406300E1,9.735252380E2
2.356449800E1,9.735704041E2
2.452484000E1,9.736357880E2
2.548516600E1,9.737300873E2
2.644540900E1,9.738429260E2
2.740564000E1,9.739682007E2
2.836592800E1,9.741188049E2
2.932623800E1,9.742989349E2
3.028655500E1,9.744721985E2
3.124699700E1,9.746723175E2
3.220742500E1,9.748849487E2
3.316788100E1,9.751284027E2
3.412833500E1,9.753672791E2
3.508872100E1,9.756358337E2
3.604917300E1,9.759044647E2
3.700971700E1,9.761801910E2
3.797018800E1,9.764329529E2
3.893069100E1,9.766744995E2
3.989114000E1,9.768823242E2
4.085159100E1,9.770510101E2
4.181198100E1,9.771764374E2
4.277239100E1,9.772953796E2
4.373272800E1,9.773942566E2
4.469300800E1,9.774766541E2
4.565328200E1,9.775437927E2
4.661356700E1,9.776051331E2
4.757372500E1,9.776422882E2
4.853390300E1,9.776614380E2
4.949401700E1,9.776815796E2
5.045406400E1,9.777169037E2
5.141420000E1,9.777636719E2
5.237446900E1,9.778063202E2
5.333476200E1,9.778576660E2
5.429505000E1,9.779080963E2
5.525535300E1,9.779512024E2
5.621573700E1,9.779899597E2
5.717597600E1,9.780290985E2
5.813613600E1,9.780664062E2
5.909627900E1,9.781079865E2
6.005641800E1,9.781537628E2
6.101643900E1,9.782000732E2
6.197646700E1,9.782421112E2
6.293643900E1,9.782843781E2
6.389636500E1,9.783164215E2
6.485635900E1,9.783425140E2
6.581632500E1,9.783723450E2
6.677624700E1,9.783993530E2
6.773610300E1,9.784420013E2
6.869592800E1,9.785027313E2
6.965575700E1,9.785982513E2
7.061550800E1,9.787133789E2
7.157531500E1,9.788552856E2
7.253515700E1,9.790037537E2
7.349494800E1,9.791567993E2
7.445476700E1,9.793074799E2
7.541459300E1,9.794662476E2
7.637434600E1,9.796272278E2
7.733401700E1,9.797849274E2
7.829371200E1,9.799378204E2
7.925337600E1,9.800946045E2
8.021306500E1,9.802292633E2
8.117276100E1,9.803417206E2
8.213250000E1,9.804302216E2
8.309220100E1,9.804947662E2
8.405187900E1,9.805246735E2
8.501159200E1,9.805246735E2
8.597135200E1,9.805084229E2
8.693105700E1,9.804651642E2
8.789079000E1,9.804042053E2
8.885042500E1,9.803289795E2
8.981008700E1,9.802427673E2
9.076981500E1,9.801690674E2
9.172943600E1,9.801228333E2
9.268899000E1,9.801171112E2
9.364862100E1,9.801171112E2
9.460824800E1,9.801522064E2
9.556787000E1,9.802156067E2
9.652742300E1,9.802996826E2
9.748688300E1,9.804043579E2
9.844636200E1,9.805449677E2
9.940586200E1,9.807166290E2
1.003653360E2,9.809020996E2
1.013247450E2,9.810916138E2
1.022841220E2,9.812873840E2
1.032434760E2,9.814744568E2
1.042028540E2,9.816580963E2
1.051623020E2,9.818221283E2
1.061218370E2,9.819786835E2
1.070814010E2,9.821211243E2
1.080409400E2,9.822518921E2
1.090004890E2,9.823677063E2
1.099599710E2,9.824836731E2
1.109194050E2,9.826020050E2
1.118788720E2,9.827127838E2
1.128383480E2,9.828195190E2
1.137978050E2,9.829283142E2
1.147572460E2,9.830300903E2
1.157167150E2,9.831207275E2
1.166761280E2,9.832164764E2
1.176355590E2,9.833090210E2
1.185949240E2,9.833945465E2
1.195542440E2,9.834803009E2
1.205135270E2,9.835650635E2
1.214728230E2,9.836428070E2
1.224321270E2,9.837126160E2
1.233912690E2,9.837745667E2
1.243503980E2,9.838278198E2
1.253095050E2,9.838757324E2
1.262685700E2,9.839188385E2
1.272276150E2,9.839553833E2
1.281866480E2,9.839954376E2
1.291456690E2,9.840377808E2
1.301046220E2,9.840797424E2
1.310635720E2,9.841262054E2
1.320225650E2,9.841792297E2
1.329815970E2,9.842242432E2
1.339405540E2,9.842655182E2
1.348994920E2,9.843018341E2
1.358583980E2,9.843273163E2
1.368173930E2,9.843416595E2
1.377763120E2,9.843451691E2
1.387353120E2,9.843451691E2
1.396944940E2,9.843376160E2
1.406535850E2,9.843188477E2
1.416127290E2,9.842961884E2
1.425719170E2,9.842756653E2
1.435310170E2,9.842546844E2
1.444900270E2,9.842342377E2
1.454489810E2,9.842279053E2
1.464079120E2,9.842253113E2
1.473669360E2,9.842253113E2
1.483259190E2,9.842276764E2
1.492848910E2,9.842313385E2
1.502437140E2,9.842404175E2
1.512026300E2,9.842539978E2
1.521615030E2,9.842669678E2
1.531202900E2,9.842808533E2
1.540791230E2,9.843044281E2
1.550380000E2,9.843252563E2
1.559968340E2,9.843455505E2
1.569557260E2,9.843628693E2
1.579147290E2,9.843814087E2
1.588736570E2,9.843975067E2
1.598326230E2,9.844095612E2
1.607916110E2,9.844201660E2
1.617505620E2,9.844350433E2
1.627094710E2,9.844553375E2
1.636683630E2,9.844692993E2
1.646271240E2,9.844692993E2
1.655859260E2,9.844669342E2
1.665446640E2,9.844669342E2
1.675033670E2,9.844768524E2
1.684621000E2,9.844809723E2
